Name,Cost,HP,ATK,Range,Speed,Mana,Traits,SkillType,SkillStat,Radius,SkillDuration,Target
Death Thirteen,2,73144,2588,3.0,0.86,100,"Tarot, Phenomenon",stun,,,3.8,enemy_random
Diver Down,3,140378,4591,1.0,0.88,120,"Green Dolphin, Power Type",hp_shield,0.3,,7.0,self
Dragon's Dream,2,110477,3429,1.0,0.93,120,"Green Dolphin, Bound",damage,26500.0,,,enemy_closest
Earth Wind and Fire,2,86846,2230,3.0,1.01,100,"Morioh, Utility",polymorph,,,5.5,enemy_random
Ebony Devil,1,56641,2670,2.0,1.09,100,"Tarot, Automatic",damage_link,,,5.0,enemy_closest
Echoes Act1,1,83340,2617,1.0,0.84,120,"Morioh, Power Type",mana_lock,,,4.2,enemy_closest
Echoes Act2,1,83019,2432,1.0,0.8,120,"Morioh, Power Type",stun,,,3.8,enemy_closest
Echoes Act3,2,111538,3459,1.0,0.93,120,"Morioh, Power Type",stun,,,4.9,enemy_highest_atk
Emperor,1,52550,1945,4.0,1.22,90,"Tarot, Long-Distance",ricochet,13000.0,1.8,,bounce_closest
Empress,1,78085,2462,1.0,0.83,120,"Tarot, Bound",dot,4500.0,,4.4,enemy_highest_atk
Enigma,1,61188,1530,3.0,0.96,100,"Morioh, Utility",banish,,,3.9,enemy_closest
Foo Fighters,3,82500,3984,5.0,1.43,90,"Green Dolphin, Long-Distance",regen,4600.0,,10.0,self
Geb,3,133089,4981,1.0,0.94,120,"Tarot, Bound",blink_strike,38000.0,,,enemy_furthest
Gold Experience Requiem,5,170475,5990,4.0,1.2,100,"Requiem, Long-Distance",return_to_zero,0.1,,,all_enemies
Gold Experience,2,106559,3543,4.0,0.9,120,"Bucciarati, Power Type",aoe_heal,6800.0,2.1,5.6,ally_lowest_hp
Goo Goo Dolls,1,52550,1819,3.0,0.93,80,"Green Dolphin, Phenomenon",polymorph,,,4.8,enemy_highest_atk
Green Day,4,118711,5100,4.0,1.03,80,"Unita Speciale, Phenomenon",aoe_dot,6800.0,2.0,12.0,area_closest
"Green, Green Grass of Home",1,76805,2542,1.0,0.78,120,"Green Dolphin, Bound",damage,18000.0,,,enemy_closest
Hanged Man,3,82500,3982,5.0,1.39,90,"Tarot, Long-Distance",blink_strike,37500.0,,,enemy_furthest
Harvest,2,114533,3484,3.0,0.89,120,"Morioh, Bound",mana_battery,40.0,,5.0,ally_lowest_mana
Heaven's Door,2,86206,2230,3.0,0.96,100,"Morioh, Utility",mind_control,,,2.2,enemy_closest
Hermit Purple,1,58564,1530,3.0,0.98,100,"Stardust, Utility",mana_lock,,,4.0,enemy_furthest
Hierophant Green,3,82500,3824,5.0,1.41,90,"Stardust, Long-Distance",ricochet,23800.0,2.4,,bounce_closest
High Priestess,1,54515,2670,2.0,1.15,100,"Tarot, Automatic",damage,19200.0,,,enemy_closest
Highway Star,2,73783,3870,2.0,1.08,100,"Morioh, Automatic",life_tether,3500.0,8.0,10.0,enemy_furthest
Highway to Hell,2,107305,3375,1.0,0.92,120,"Green Dolphin, Bound",damage_link,,,5.0,enemy_closest
Horus,3,137153,4696,1.0,0.92,120,"Tarot, Bound",stun,,,5.9,enemy_closest
Jail House Lock,2,83909,2230,3.0,1.01,100,"Green Dolphin, Utility",mana_lock,,,5.2,enemy_random
Judgement,2,110624,3638,1.0,0.91,120,"Tarot, Power Type",clone,0.45,,,self
Jumpin' Jack Flash,1,52550,1722,3.0,0.93,100,"Green Dolphin, Phenomenon",global_slow,0.35,,3.5,all_enemies
Justice,3,85916,3566,3.0,1.03,80,"Tarot, Phenomenon",mind_control,,,2.8,enemy_random
Killer Queen,4,167628,6646,1.0,1.02,120,"Morioh, Power Type",execute,37500.0,,,enemy_lowest_hp
King Crimson,5,215409,8476,1.5,1.07,120,"Unita Speciale, Phenomenon",evasion,,,6.0,self
Kiss,3,137526,4922,1.0,0.92,120,"Green Dolphin, Power Type",clone,0.55,,,self
Kraft Work,2,112691,3642,1.0,0.92,120,"La Squadra, Bound",hp_shield,0.25,,6.5,self
Khnum,1,62459,1530,3.0,1.01,100,"Tarot, Utility",polymorph,,,4.2,enemy_closest
Limp Bizkit,2,110033,3592,1.0,0.94,100,"Green Dolphin, Bound",submerge,,,3.6,self
Little Feet,1,52550,1804,3.0,0.92,80,"La Squadra, Phenomenon",polymorph,,,4.4,enemy_highest_atk
Love Deluxe,1,79598,2406,1.0,0.79,120,"Morioh, Bound",stun,,,4.6,enemy_closest
Lovers,1,83088,2536,1.0,0.81,120,"Tarot, Bound",damage,18800.0,,,enemy_closest
Made in Heaven,5,206733,8838,1.5,1.05,120,"Green Dolphin, Bound",speed_buff,135.0,,7.0,self
Magician's Red,3,89922,3672,3.0,1.04,80,"Stardust, Phenomenon",dot,8800.0,,6.3,enemy_closest
Man in the Mirror,1,52550,1857,3.0,0.86,80,"La Squadra, Phenomenon",banish,,,4.3,enemy_random
Manhattan Transfer,1,52550,2034,4.0,1.21,90,"Green Dolphin, Long-Distance",ricochet,12800.0,1.8,,bounce_closest
Marilyn Manson,1,55403,2670,2.0,1.15,100,"Green Dolphin, Automatic",damage,19800.0,,,enemy_closest
Metallica,4,111700,4805,4.0,1.04,80,"La Squadra, Phenomenon",dot,11500.0,,7.1,enemy_closest
Moody Blues,1,57066,1530,3.0,1.01,100,"Bucciarati, Utility",clone,0.3,,,self
Mr.President,2,84684,2230,3.0,1.03,100,"Bucciarati, Utility",aoe_heal,7600.0,2.1,4.7,ally_lowest_hp
Notorious B.I.G,2,73686,3870,1.0,0.2,150,"Unita Speciale, Automatic",revive,,,,self
Oasis,4,164059,6811,1.0,1.03,120,"Unita Speciale, Power Type",submerge,,,4.5,self
Osiris,2,88386,2230,3.0,0.98,100,"Tarot, Utility",stat_steal,5035.0,,5.5,enemy_closest
Pearl Jam,2,87458,2230,3.0,1.01,100,"Morioh, Utility",mana_battery,30.0,,8.0,ally_lowest_mana
Planet Waves,1,52550,1944,4.0,1.18,90,"Green Dolphin, Long-Distance",damage,17500.0,,,enemy_random
Purple Haze,4,111934,5062,4.0,1.0,80,"Bucciarati, Phenomenon",aoe_dot,10800.0,2.7,7.0,area_closest
Ratt,2,68600,2697,4.0,1.35,90,"Morioh, Long-Distance",dot,6400.0,,5.1,enemy_furthest
Red Hot Chili Pepper,2,112692,3606,1.0,0.88,120,"Morioh, Bound",blink_strike,25800.0,,,enemy_furthest
Rolling Stones,2,74863,3870,2.0,1.13,110,"Unita Speciale, Automatic",execute,21500.0,,,enemy_lowest_hp
Sethan,2,81225,2230,3.0,0.96,100,"Tarot, Utility",polymorph,,,4.9,enemy_highest_atk
Sex Pistols,3,82500,4059,5.0,1.4,90,"Bucciarati, Long-Distance",ricochet,23200.0,2.4,,bounce_closest
Silver Chariot,3,134638,4761,1.0,0.93,120,"Stardust, Power Type",speed_buff,66.0,,5.4,self
Sky High,1,52550,1770,3.0,0.91,80,"Green Dolphin, Phenomenon",dot,4800.0,,4.2,enemy_closest
Soft Machine,2,85982,2230,3.0,0.97,100,"La Squadra, Utility",stat_steal,2662.0,,6.0,enemy_highest_atk
Spice Girl,2,105194,3662,1.0,0.89,120,"Bucciarati, Power Type",hp_shield,0.25,,6.5,self
Star Platinum,5,208341,8297,1.5,1.06,130,"Stardust, Power Type",time_stop,,,2.2,all_except_self
Sticky Fingers,4,169810,6636,1.0,1.03,120,"Bucciarati, Power Type",swap,32000.0,,,enemy_furthest
Stone Free,3,143500,4592,1.0,0.92,120,"Green Dolphin, Power Type",damage,36800.0,,,enemy_closest
Stray Cat,1,77322,2527,1.0,0.82,120,"Morioh, Bound",damage,18200.0,,,enemy_furthest
Strength,1,79499,2597,1.0,0.78,120,"Tarot, Bound",aoe_dot,4000.0,1.8,4.5,area_closest
Sun,1,52550,1866,3.0,0.86,80,"Tarot, Phenomenon",aoe_dot,4000.0,1.8,4.5,enemy_random
Super Fly,1,80975,2411,1.0,0.82,100,"Morioh, Bound",damage_link,,,5.0,enemy_random
Surface,1,80013,2600,1.0,0.81,100,"Morioh, Bound",mind_control,,,2.0,enemy_closest
Survivor,1,58285,1530,3.0,1.0,100,"Green Dolphin, Utility",mind_control,,,2.0,enemy_random
Talking Head,1,58422,1530,3.0,0.99,100,"Unita Speciale, Utility",mana_lock,,,4.7,enemy_highest_atk
Tohth,2,86900,2230,3.0,0.96,100,"Tarot, Utility",evasion,,,4.0,self
Tower of Gray,2,68600,2854,4.0,1.24,90,"Tarot, Long-Distance",evasion,,,4.0,self
The Fool,3,141079,4586,1.0,0.88,120,"Stardust, Bound",hp_shield,0.3,,7.0,self
The Grateful Dead,3,93846,3737,3.0,0.96,80,"La Squadra, Phenomenon",aoe_dot,7600.0,2.4,6.0,area_closest
The Hand,4,173557,6809,1.0,1.02,120,"Morioh, Power Type",pull,36000.0,2.7,,enemy_furthest
The Lock,1,61168,1530,3.0,0.99,100,"Morioh, Utility",mana_lock,,,4.7,enemy_closest
The World,5,201467,8588,1.5,1.0,120,"Tarot, Automatic",time_stop,,,2.5,all_except_self
Under World,1,52550,1777,3.0,0.92,80,"Green Dolphin, Phenomenon",aoe_dot,4200.0,1.8,4.2,area_closest
Weather Report,4,111700,4776,4.0,1.05,100,"Green Dolphin, Phenomenon",polymorph,,,4.8,enemy_highest_atk
Wheel of Fortune,2,108730,3559,1.0,0.86,100,"Tarot, Bound",buff_atk,4500.0,,5.5,self
White Album,4,115092,5241,4.0,0.98,100,"La Squadra, Phenomenon",hp_shield,0.35,,7.5,self
Whitesnake,4,162884,6332,1.0,0.96,120,"Green Dolphin, Power Type",stat_steal,8500.0,,5.5,enemy_highest_atk
Yellow Temperance,2,77890,3870,2.0,1.09,100,"Tarot, Automatic",hp_shield,0.25,,6.5,self
Yo-Yo Ma,2,73310,3870,2.0,1.09,100,"Green Dolphin, Automatic",dot,6500.0,,5.2,enemy_closest
